Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0142246	313.058511	313.058511	313.058511	313.058511	0	0	0	0	0	0	3
2	3	0	0.0284492	313.058512	313.058512	313.058511	313.058512	2.61352113e-07	0	0	0	0	0	3
3	3	0	0.0426738	313.058519	313.058514	313.058511	313.058519	2.77900244e-06	0	0	0	0	0	3
4	3	0	0.0568984	313.058529	313.058518	313.058511	313.058529	6.4063604e-06	0	0	0	0	0	3
5	4	0	0.071123	313.058539	313.058522	313.058511	313.058539	1.05862363e-05	0	0	0	0	0	3
6	4	0	0.0853476	313.058557	313.058528	313.058511	313.058557	1.64309081e-05	0	0	0	0	0	3
7	5	0	0.0995722	313.05858	313.058535	313.058511	313.05858	2.39041007e-05	0	0	0	0	0	3
8	5	0	0.1137968	313.058604	313.058544	313.058511	313.058604	3.2534101e-05	0	0	0	0	0	3
9	5	0	0.1280214	313.058629	313.058553	313.058511	313.058629	4.19683262e-05	0	0	0	0	0	3
10	6	0	0.142246	313.058653	313.058563	313.058511	313.058653	5.19011513e-05	0	0	0	0	0	3
11	6	0	0.1564706	313.058688	313.058575	313.058511	313.058688	6.32707716e-05	0	0	0	0	0	3
12	6	0	0.1706952	313.058717	313.058587	313.058511	313.058717	7.51541584e-05	0	0	0	0	0	3
13	7	0	0.1849198	313.058738	313.058598	313.058511	313.058738	8.68019089e-05	0	0	0	0	0	3
14	7	0	0.1991444	313.058757	313.05861	313.058511	313.058757	9.81207259e-05	0	0	0	0	0	3
15	8	0	0.213369	313.058774	313.058621	313.058511	313.058774	0.000109105166	0	0	0	0	0	3
16	8	0	0.2275936	313.058807	313.058632	313.058511	313.058807	0.000120782037	0	0	0	0	0	3
17	8	0	0.2418182	313.058841	313.058644	313.058511	313.058841	0.000133048074	0	0	0	0	0	3
18	9	0	0.2560428	313.058875	313.058657	313.058511	313.058875	0.00014586882	0	0	0	0	0	3
19	9	0	0.2702674	313.058911	313.058671	313.058511	313.058911	0.000159224865	0	0	0	0	0	3
20	10	0	0.284492	313.058947	313.058684	313.058511	313.058947	0.000173049238	0	0	0	0	0	3
21	10	0	0.2987166	313.059013	313.0587	313.058511	313.059013	0.000188686224	0	0	0	0	0	3
22	10	0	0.3129412	313.059069	313.058717	313.058511	313.059069	0.000205450031	0	0	0	0	0	3
23	11	0	0.3271658	313.059118	313.058734	313.058511	313.059118	0.000222898655	0	0	0	0	0	3
24	11	0	0.3413904	313.059158	313.058752	313.058511	313.059158	0.00024053569	0	0	0	0	0	3
25	12	0	0.355615	313.059189	313.058769	313.058511	313.059189	0.000258013674	0	0	0	0	0	3
26	12	0	0.3698396	313.059235	313.058787	313.058511	313.059235	0.000275906226	0	0	0	0	0	3
27	12	0	0.3840642	313.059254	313.058805	313.058511	313.059254	0.000293203013	0	0	0	0	0	3
28	13	0	0.3982888	313.059251	313.058821	313.058511	313.059254	0.000309150264	0	0	0	0	0	3
29	13	0	0.4125134	313.059224	313.058834	313.058511	313.059254	0.00032306385	0	0	0	0	0	3
30	13	0	0.426738	313.05918	313.058846	313.058511	313.059254	0.000334596538	0	0	0	0	0	3
31	14	0	0.4409626	313.059108	313.058854	313.058511	313.059254	0.000343054299	0	0	0	0	0	3
32	14	0	0.4551872	313.059025	313.05886	313.058511	313.059254	0.000348390251	0	0	0	0	0	3
33	15	0	0.4694118	313.058936	313.058862	313.058511	313.059254	0.000350699565	0	0	0	0	0	3
34	15	0	0.4836364	313.058845	313.058862	313.058511	313.059254	0.000350699565	0	0	0	0	0	3
35	15	0	0.497861	313.058765	313.058859	313.058511	313.059254	0.000350699565	0	0	0	0	0	3
36	16	0	0.5120856	313.058679	313.058854	313.058511	313.059254	0.000350699565	0	0	0	0	0	3
37	16	0	0.5263102	313.058595	313.058856	313.058512	313.059254	0.000350438212	0	0	0	0	0	3
38	17	0	0.5405348	313.058508	313.058856	313.058508	313.059254	0.000347920562	0	0	0	0	0	3
39	17	0	0.5547594	313.058413	313.058853	313.058413	313.059254	0.000344293204	0	0	0	0	0	3
40	17	0	0.568984	313.058301	313.058847	313.058301	313.059254	0.000340113328	0	0	0	0	0	3
41	18	0	0.5832086	313.05814	313.058836	313.05814	313.059254	0.000334268656	0	0	0	0	0	3
42	18	0	0.5974332	313.057925	313.058818	313.057925	313.059254	0.000326795464	0	0	0	0	0	3
43	19	0	0.6116578	313.057547	313.058789	313.057547	313.059254	0.000318165464	0	0	0	0	0	3
44	19	0	0.6258824	313.057091	313.058747	313.057091	313.059254	0.000308731238	0	0	0	0	0	3
45	19	0	0.640107	313.056574	313.05869	313.056574	313.059254	0.000298798413	0	0	0	0	0	3
46	20	0	0.6543316	313.056007	313.058617	313.056007	313.059254	0.000287428793	0	0	0	0	0	3
47	20	0	0.6685562	313.055375	313.058525	313.055375	313.059254	0.000337326887	0	0	0	0	0	3
48	20	0	0.6827808	313.054808	313.058416	313.054808	313.059254	0.000445919992	0	0	0	0	0	3
49	21	0	0.6970054	313.054585	313.058301	313.054585	313.059254	0.000561279009	0	0	0	0	0	3
50	21	0	0.71123	313.055156	313.058201	313.054585	313.059254	0.000661303419	0	0	0	0	0	3
51	22	0	0.7254546	313.056484	313.058137	313.054585	313.059254	0.000724916451	0	0	0	0	0	3
52	22	0	0.7396792	313.058232	313.058121	313.054585	313.059254	0.0007409017	0	0	0	0	0	3
53	22	0	0.7539038	313.059292	313.058134	313.054585	313.059292	0.0007409017	0	0	0	0	0	3
54	23	0	0.7681284	313.059285	313.058145	313.054585	313.059292	0.0007409017	0	0	0	0	0	3
55	23	0	0.782353	313.05872	313.05814	313.054585	313.059292	0.0007409017	0	0	0	0	0	3
56	24	0	0.7965776	313.058262	313.058121	313.054585	313.059292	0.000741330266	0	0	0	0	0	3
57	24	0	0.8108022	313.05812	313.058096	313.054585	313.059292	0.000766138677	0	0	0	0	0	3
58	25	0	0.8250268	313.058234	313.058073	313.054585	313.059292	0.00078931756	0	0	0	0	0	3
59	25	0	0.8392514	313.058377	313.058052	313.054585	313.059292	0.000809903008	0	0	0	0	0	3
60	25	0	0.853476	313.058411	313.058031	313.054585	313.059292	0.000830644238	0	0	0	0	0	3
61	26	0	0.8677006	313.058373	313.058009	313.054585	313.059292	0.000853301685	0	0	0	0	0	3
62	26	0	0.8819252	313.058314	313.057983	313.054585	313.059292	0.000878868515	0	0	0	0	0	3
63	27	0	0.8961498	313.058227	313.057955	313.054585	313.059292	0.000907408165	0	0	0	0	0	3
64	27	0	0.9103744	313.058083	313.057922	313.054585	313.059292	0.000939864863	0	0	0	0	0	3
65	28	0	0.924599	313.057842	313.057884	313.054585	313.059292	0.000978252038	0	0	0	0	0	3
66	28	0	0.9388236	313.057474	313.057836	313.054585	313.059292	0.00102564556	0	0	0	0	0	3
