Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0142246	0	0	0	0	0	0	0	0	0	0	3
2	3	0	0.0284492	0	0	0	0	0	0	0	0	0	0	3
3	3	0	0.0426738	0	0	0	0	0	0	0	0	0	0	3
4	3	0	0.0568984	0	0	0	0	0	0	0	0	0	0	3
5	4	0	0.071123	0	0	0	0	0	0	0	0	0	0	3
6	4	0	0.0853476	0	0	0	0	0	0	0	0	0	0	3
7	5	0	0.0995722	0	0	0	0	0	0	0	0	0	0	3
8	5	0	0.1137968	0	0	0	0	0	0	0	0	0	0	3
9	5	0	0.1280214	0	0	0	0	0	0	0	0	0	0	3
10	6	0	0.142246	0	0	0	0	0	0	0	0	0	0	3
11	6	0	0.1564706	0	0	0	0	0	0	0	0	0	0	3
12	6	0	0.1706952	0	0	0	0	0	0	0	0	0	0	3
13	7	0	0.1849198	0	0	0	0	0	0	0	0	0	0	3
14	7	0	0.1991444	0	0	0	0	0	0	0	0	0	0	3
15	8	0	0.213369	0	0	0	0	0	0	0	0	0	0	3
16	8	0	0.2275936	0	0	0	0	0	0	0	0	0	0	3
17	8	0	0.2418182	0	0	0	0	0	0	0	0	0	0	3
18	9	0	0.2560428	0	0	0	0	0	0	0	0	0	0	3
19	9	0	0.2702674	0	0	0	0	0	0	0	0	0	0	3
20	10	0	0.284492	0	0	0	0	0	0	0	0	0	0	3
21	10	0	0.2987166	0	0	0	0	0	0	0	0	0	0	3
22	10	0	0.3129412	0	0	0	0	0	0	0	0	0	0	3
23	11	0	0.3271658	0	0	0	0	0	0	0	0	0	0	3
24	11	0	0.3413904	0	0	0	0	0	0	0	0	0	0	3
25	12	0	0.355615	0	0	0	0	0	0	0	0	0	0	3
26	12	0	0.3698396	0	0	0	0	0	0	0	0	0	0	3
27	12	0	0.3840642	0	0	0	0	0	0	0	0	0	0	3
28	13	0	0.3982888	0	0	0	0	0	0	0	0	0	0	3
29	13	0	0.4125134	0	0	0	0	0	0	0	0	0	0	3
30	13	0	0.426738	0	0	0	0	0	0	0	0	0	0	3
31	14	0	0.4409626	0	0	0	0	0	0	0	0	0	0	3
32	14	0	0.4551872	0	0	0	0	0	0	0	0	0	0	3
33	15	0	0.4694118	0	0	0	0	0	0	0	0	0	0	3
34	15	0	0.4836364	0	0	0	0	0	0	0	0	0	0	3
35	15	0	0.497861	0	0	0	0	0	0	0	0	0	0	3
36	16	0	0.5120856	0	0	0	0	0	0	0	0	0	0	3
37	16	0	0.5263102	0	0	0	0	0	0	0	0	0	0	3
38	17	0	0.5405348	0	0	0	0	0	0	0	0	0	0	3
39	17	0	0.5547594	0	0	0	0	0	0	0	0	0	0	3
40	17	0	0.568984	0	0	0	0	0	0	0	0	0	0	3
41	18	0	0.5832086	0	0	0	0	0	0	0	0	0	0	3
42	18	0	0.5974332	0	0	0	0	0	0	0	0	0	0	3
43	19	0	0.6116578	0	0	0	0	0	0	0	0	0	0	3
44	19	0	0.6258824	0	0	0	0	0	0	0	0	0	0	3
45	19	0	0.640107	0	0	0	0	0	0	0	0	0	0	3
46	20	0	0.6543316	0	0	0	0	0	0	0	0	0	0	3
47	20	0	0.6685562	0	0	0	0	0	0	0	0	0	0	3
48	20	0	0.6827808	0	0	0	0	0	0	0	0	0	0	3
49	21	0	0.6970054	0	0	0	0	0	0	0	0	0	0	3
50	21	0	0.71123	0	0	0	0	0	0	0	0	0	0	3
51	22	0	0.7254546	0	0	0	0	0	0	0	0	0	0	3
52	22	0	0.7396792	0	0	0	0	0	0	0	0	0	0	3
53	22	0	0.7539038	0	0	0	0	0	0	0	0	0	0	3
54	23	0	0.7681284	0	0	0	0	0	0	0	0	0	0	3
55	23	0	0.782353	0	0	0	0	0	0	0	0	0	0	3
56	24	0	0.7965776	0	0	0	0	0	0	0	0	0	0	3
57	24	0	0.8108022	0	0	0	0	0	0	0	0	0	0	3
58	25	0	0.8250268	0	0	0	0	0	0	0	0	0	0	3
59	25	0	0.8392514	0	0	0	0	0	0	0	0	0	0	3
60	25	0	0.853476	0	0	0	0	0	0	0	0	0	0	3
61	26	0	0.8677006	0	0	0	0	0	0	0	0	0	0	3
62	26	0	0.8819252	0	0	0	0	0	0	0	0	0	0	3
63	27	0	0.8961498	0	0	0	0	0	0	0	0	0	0	3
64	27	0	0.9103744	0	0	0	0	0	0	0	0	0	0	3
65	28	0	0.924599	0	0	0	0	0	0	0	0	0	0	3
66	28	0	0.9388236	0	0	0	0	0	0	0	0	0	0	3
67	28	0	0.9530482	0	0	0	0	0	0	0	0	0	0	3
68	29	0	0.9672728	0	0	0	0	0	0	0	0	0	0	3
69	29	0	0.9814974	0	0	0	0	0	0	0	0	0	0	3
70	30	0	0.995722	0	0	0	0	0	0	0	0	0	0	3
71	30	0	1.0099466	0	0	0	0	0	0.001	0	0	0	0	3
72	30	0	1.0241712	0	0	0	0	0	0.001	0	0	0	0	3
73	31	0	1.0383958	0	0	0	0	0	0.001	0	0	0	0	3
74	31	0	1.0526204	0	0	0	0	0	0.001	0	0	0	0	3
75	32	0	1.066845	0	0	0	0	0	0.001	0	0	0	0	3
76	32	0	1.0810696	0	0	0	0	0	0.001	0	0	0	0	3
77	33	0	1.0952942	0	0	0	0	0	0.001	0	0	0	0	3
78	33	0	1.1095188	0	0	0	0	0	0.001	0	0	0	0	3
79	34	0	1.1237434	0	0	0	0	0	0.001	0	0	0	0	3
80	34	0	1.137968	0	0	0	0	0	0.001	0	0	0	0	3
81	35	0	1.1521926	0	0	0	0	0	0.001	0	0	0	0	3
82	35	0	1.1664172	0	0	0	0	0	0.001	0	0	0	0	3
83	36	0	1.1806418	0	0	0	0	0	0.001	0	0	0	0	3
84	36	0	1.1948664	0	0	0	0	0	0.001	0	0	0	0	3
85	36	0	1.209091	0	0	0	0	0	0.001	0	0	0	0	3
86	37	0	1.2233156	0	0	0	0	0	0.001	0	0	0	0	3
87	37	0	1.2375402	0	0	0	0	0	0.001	0	0	0	0	3
88	38	0	1.2517648	0	0	0	0	0	0.001	0	0	0	0	3
89	38	0	1.2659894	0	0	0	0	0	0.001	0	0	0	0	3
90	39	0	1.280214	0	0	0	0	0	0.001	0	0	0	0	3
91	39	0	1.2944386	0	0	0	0	0	0.001	0	0	0	0	3
92	39	0	1.3086632	0	0	0	0	0	0.001	0	0	0	0	3
93	40	0	1.3228878	0	0	0	0	0	0.001	0	0	0	0	3
94	40	0	1.3371124	0	0	0	0	0	0.001	0	0	0	0	3
95	41	0	1.351337	0	0	0	0	0	0.001	0	0	0	0	3
96	41	0	1.3655616	0	0	0	0	0	0.001	0	0	0	0	3
97	42	0	1.3797862	0	0	0	0	0	0.001	0	0	0	0	3
98	42	0	1.3940108	0	0	0	0	0	0.001	0	0	0	0	3
99	42	0	1.4082354	0	0	0	0	0	0.001	0	0	0	0	3
100	43	0	1.42246	0	0	0	0	0	0.001	0	0	0	0	3
101	44	0	1.4366846	0	0	0	0	0	0.001	0	0	0	0	3
102	44	0	1.4509092	0	0	0	0	0	0.001	0	0	0	0	3
103	44	0	1.4651338	0	0	0	0	0	0.001	0	0	0	0	3
104	45	0	1.4793584	0	0	0	0	0	0.001	0	0	0	0	3
105	45	0	1.493583	0	0	0	0	0	0.001	0	0	0	0	3
106	46	0	1.5078076	0	0	0	0	0	0.001	0	0	0	0	3
107	46	0	1.5220322	0	0	0	0	0	0.001	0	0	0	0	3
108	47	0	1.5362568	0	0	0	0	0	0.001	0	0	0	0	3
109	47	0	1.5504814	0	0	0	0	0	0.001	0	0	0	0	3
110	47	0	1.564706	0	0	0	0	0	0.001	0	0	0	0	3
111	48	0	1.5789306	0	0	0	0	0	0.001	0	0	0	0	3
112	48	0	1.5931552	0	0	0	0	0	0.001	0	0	0	0	3
113	49	0	1.6073798	0	0	0	0	0	0.001	0	0	0	0	3
114	49	0	1.6216044	0	0	0	0	0	0.001	0	0	0	0	3
115	49	0	1.635829	0	0	0	0	0	0.001	0	0	0	0	3
116	50	0	1.6500536	0	0	0	0	0	0.001	0	0	0	0	3
117	50	0	1.6642782	0	0	0	0	0	0.001	0	0	0	0	3
118	51	0	1.6785028	0	0	0	0	0	0.001	0	0	0	0	3
119	51	0	1.6927274	0	0	0	0	0	0.001	0	0	0	0	3
120	51	0	1.706952	0	0	0	0	0	0.001	0	0	0	0	3
121	52	0	1.7211766	0	0	0	0	0	0.001	0	0	0	0	3
122	52	0	1.7354012	0	0	0	0	0	0.001	0	0	0	0	3
123	53	0	1.7496258	0	0	0	0	0	0.001	0	0	0	0	3
124	53	0	1.7638504	0	0	0	0	0	0.001	0	0	0	0	3
125	53	0	1.778075	0	0	0	0	0	0.001	0	0	0	0	3
126	54	0	1.7922996	0	0	0	0	0	0.001	0	0	0	0	3
127	54	0	1.8065242	0	0	0	0	0	0.001	0	0	0	0	3
128	55	0	1.8207488	0	0	0	0	0	0.001	0	0	0	0	3
129	55	0	1.8349734	0	0	0	0	0	0.001	0	0	0	0	3
