Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0142246	101331.302	101331.302	101331.302	101331.302	0	0	0	0	0	0	3
2	3	0	0.0284492	101363.048	101347.175	101331.302	101363.048	15.873335	0	0	0	0	0	3
3	3	0	0.0426738	101423.522	101372.624	101331.302	101423.522	41.3222656	0	0	0	0	0	3
4	3	0	0.0568984	101479.987	101399.465	101331.302	101479.987	68.162953	0	0	0	0	0	3
5	4	0	0.071123	101510.968	101421.765	101331.302	101510.968	90.4635454	0	0	0	0	0	3
6	4	0	0.0853476	101548.044	101442.812	101331.302	101548.044	111.509958	0	0	0	0	0	3
7	5	0	0.0995722	101566.909	101460.54	101331.302	101566.909	129.238103	0	0	0	0	0	3
8	5	0	0.1137968	101539.501	101470.41	101331.302	101566.909	139.108275	0	0	0	0	0	3
9	5	0	0.1280214	101458.488	101469.085	101331.302	101566.909	139.108275	0	0	0	0	0	3
10	6	0	0.142246	101343.746	101456.551	101331.302	101566.909	139.108275	0	0	0	0	0	3
11	6	0	0.1564706	101175.292	101430.982	101175.292	101566.909	139.108275	0	0	0	0	0	3
12	6	0	0.1706952	101070.592	101400.95	101070.592	101566.909	139.108275	0	0	0	0	0	3
13	7	0	0.1849198	101039.116	101373.116	101039.116	101566.909	139.108275	0	0	0	0	0	3
14	7	0	0.1991444	101070.93	101351.532	101039.116	101566.909	139.108275	0	0	0	0	0	3
15	8	0	0.213369	101146.844	101337.886	101039.116	101566.909	139.108275	0	0	0	0	0	3
16	8	0	0.2275936	101284.333	101334.539	101039.116	101566.909	139.108275	0	0	0	0	0	3
17	8	0	0.2418182	101385.417	101337.532	101039.116	101566.909	139.108275	0	0	0	0	0	3
18	9	0	0.2560428	101425.286	101342.407	101039.116	101566.909	139.108275	0	0	0	0	0	3
19	9	0	0.2702674	101411.534	101346.045	101039.116	101566.909	139.108275	0	0	0	0	0	3
20	10	0	0.284492	101370.006	101347.243	101039.116	101566.909	139.108275	0	0	0	0	0	3
21	10	0	0.2987166	101315.361	101345.725	101039.116	101566.909	139.108275	0	0	0	0	0	3
22	10	0	0.3129412	101291.1	101343.242	101039.116	101566.909	139.108275	0	0	0	0	0	3
23	11	0	0.3271658	101288.134	101340.846	101039.116	101566.909	139.108275	0	0	0	0	0	3
24	11	0	0.3413904	101292.921	101338.849	101039.116	101566.909	139.108275	0	0	0	0	0	3
25	12	0	0.355615	101296.129	101337.14	101039.116	101566.909	139.108275	0	0	0	0	0	3
26	12	0	0.3698396	101292.527	101335.424	101039.116	101566.909	139.108275	0	0	0	0	0	3
27	12	0	0.3840642	101285.607	101333.579	101039.116	101566.909	139.108275	0	0	0	0	0	3
