Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	2	0	0.0142246	293.217709	293.217709	293.217709	293.217709	0	0	0	0	0	0	3
2	3	0	0.0284492	293.24157	293.229639	293.217709	293.24157	0.0119308802	0	0	0	0	0	3
3	3	0	0.0426738	293.265016	293.241432	293.217709	293.265016	0.0237230474	0	0	0	0	0	3
4	3	0	0.0568984	293.285041	293.252334	293.217709	293.285041	0.03462543	0	0	0	0	0	3
5	4	0	0.071123	293.302546	293.262377	293.217709	293.302546	0.0446679136	0	0	0	0	0	3
6	4	0	0.0853476	293.328742	293.273437	293.217709	293.328742	0.0557288705	0	0	0	0	0	3
7	5	0	0.0995722	293.347921	293.284078	293.217709	293.347921	0.0663693646	0	0	0	0	0	3
8	5	0	0.1137968	293.34744	293.291998	293.217709	293.347921	0.0742896351	0	0	0	0	0	3
9	5	0	0.1280214	293.325957	293.295771	293.217709	293.347921	0.0780628567	0	0	0	0	0	3
10	6	0	0.142246	293.291477	293.295342	293.217709	293.347921	0.0780628567	0	0	0	0	0	3
11	6	0	0.1564706	293.24069	293.290374	293.217709	293.347921	0.0780628567	0	0	0	0	0	3
12	6	0	0.1706952	293.212783	293.283908	293.212783	293.347921	0.0780628567	0	0	0	0	0	3
13	7	0	0.1849198	293.210803	293.278284	293.210803	293.347921	0.0780628567	0	0	0	0	0	3
14	7	0	0.1991444	293.229716	293.274815	293.210803	293.347921	0.0780628567	0	0	0	0	0	3
15	8	0	0.213369	293.261741	293.273944	293.210803	293.347921	0.0780628567	0	0	0	0	0	3
16	8	0	0.2275936	293.314193	293.276459	293.210803	293.347921	0.0780628567	0	0	0	0	0	3
17	8	0	0.2418182	293.351279	293.28086	293.210803	293.351279	0.0780628567	0	0	0	0	0	3
18	9	0	0.2560428	293.367586	293.285678	293.210803	293.367586	0.0780628567	0	0	0	0	0	3
19	9	0	0.2702674	293.367083	293.289963	293.210803	293.367586	0.0780628567	0	0	0	0	0	3
20	10	0	0.284492	293.358468	293.293388	293.210803	293.367586	0.0780628567	0	0	0	0	0	3
21	10	0	0.2987166	293.348385	293.296007	293.210803	293.367586	0.0782984013	0	0	0	0	0	3
22	10	0	0.3129412	293.34735	293.298341	293.210803	293.367586	0.0806321784	0	0	0	0	0	3
23	11	0	0.3271658	293.351964	293.300672	293.210803	293.367586	0.0829636016	0	0	0	0	0	3
24	11	0	0.3413904	293.357825	293.303054	293.210803	293.367586	0.0853449547	0	0	0	0	0	3
25	12	0	0.355615	293.362252	293.305421	293.210803	293.367586	0.0877128738	0	0	0	0	0	3
26	12	0	0.3698396	293.364846	293.307707	293.210803	293.367586	0.0899984476	0	0	0	0	0	3
27	12	0	0.3840642	293.365434	293.309845	293.210803	293.367586	0.0921365009	0	0	0	0	0	3
28	13	0	0.3982888	293.36519	293.311822	293.210803	293.367586	0.0941130872	0	0	0	0	0	3
29	13	0	0.4125134	293.364845	293.31365	293.210803	293.367586	0.0959414777	0	0	0	0	0	3
30	13	0	0.426738	293.364682	293.315351	293.210803	293.367586	0.0976425545	0	0	0	0	0	3
31	14	0	0.4409626	293.365816	293.316979	293.210803	293.367586	0.0992704564	0	0	0	0	0	3
32	14	0	0.4551872	293.367478	293.318557	293.210803	293.367586	0.100848555	0	0	0	0	0	3
33	15	0	0.4694118	293.369888	293.320113	293.210803	293.369888	0.102404045	0	0	0	0	0	3
34	15	0	0.4836364	293.372678	293.321659	293.210803	293.372678	0.10395009	0	0	0	0	0	3
35	15	0	0.497861	293.376049	293.323213	293.210803	293.376049	0.1055041	0	0	0	0	0	3
36	16	0	0.5120856	293.382405	293.324857	293.210803	293.382405	0.107148333	0	0	0	0	0	3
37	16	0	0.5263102	293.388669	293.329606	293.210803	293.388669	0.0999663656	0	0	0	0	0	3
38	17	0	0.5405348	293.393985	293.33384	293.210803	293.393985	0.0924079254	0	0	0	0	0	3
39	17	0	0.5547594	293.39916	293.337566	293.210803	293.39916	0.0852317647	0	0	0	0	0	3
40	17	0	0.568984	293.404674	293.340889	293.210803	293.404674	0.0785124096	0	0	0	0	0	3
41	18	0	0.5832086	293.414921	293.34401	293.210803	293.414921	0.0705729644	0	0	0	0	0	3
42	18	0	0.5974332	293.42654	293.346727	293.210803	293.42654	0.0727835247	0	0	0	0	0	3
43	19	0	0.6116578	293.438286	293.349237	293.210803	293.438286	0.0752936721	0	0	0	0	0	3
44	19	0	0.6258824	293.449874	293.352083	293.210803	293.449874	0.0781390663	0	0	0	0	0	3
45	19	0	0.640107	293.462157	293.355866	293.210803	293.462157	0.0819224047	0	0	0	0	0	3
46	20	0	0.6543316	293.475246	293.360971	293.210803	293.475246	0.0870271099	0	0	0	0	0	3
47	20	0	0.6685562	293.488579	293.367856	293.210803	293.488579	0.0939129204	0	0	0	0	0	3
48	20	0	0.6827808	293.502416	293.375902	293.210803	293.502416	0.101958285	0	0	0	0	0	3
49	21	0	0.6970054	293.515609	293.384369	293.229716	293.515609	0.11042511	0	0	0	0	0	3
50	21	0	0.71123	293.525682	293.39259	293.261741	293.525682	0.118646389	0	0	0	0	0	3
51	22	0	0.7254546	293.530409	293.400053	293.314193	293.530409	0.123593804	0	0	0	0	0	3
52	22	0	0.7396792	293.52719	293.405969	293.34735	293.530409	0.125109199	0	0	0	0	0	3
53	22	0	0.7539038	293.514986	293.410517	293.34735	293.530409	0.124838527	0	0	0	0	0	3
54	23	0	0.7681284	293.496213	293.41409	293.34735	293.530409	0.124127043	0	0	0	0	0	3
55	23	0	0.782353	293.476326	293.417124	293.34735	293.530409	0.123736302	0	0	0	0	0	3
56	24	0	0.7965776	293.460508	293.419959	293.34735	293.530409	0.123951837	0	0	0	0	0	3
57	24	0	0.8108022	293.45026	293.422789	293.34735	293.530409	0.124447921	0	0	0	0	0	3
58	25	0	0.8250268	293.444111	293.425477	293.351964	293.530409	0.124804304	0	0	0	0	0	3
59	25	0	0.8392514	293.44081	293.427944	293.357825	293.530409	0.12489091	0	0	0	0	0	3
60	25	0	0.853476	293.438801	293.430194	293.362252	293.530409	0.124772342	0	0	0	0	0	3
61	26	0	0.8677006	293.43839	293.432309	293.364682	293.530409	0.124601726	0	0	0	0	0	3
62	26	0	0.8819252	293.4395	293.434382	293.364682	293.530409	0.124537384	0	0	0	0	0	3
63	27	0	0.8961498	293.442331	293.436519	293.364682	293.530409	0.124696822	0	0	0	0	0	3
64	27	0	0.9103744	293.446378	293.438774	293.364682	293.530409	0.125123665	0	0	0	0	0	3
65	28	0	0.924599	293.450961	293.441166	293.364682	293.530409	0.125814693	0	0	0	0	0	3
66	28	0	0.9388236	293.455207	293.44368	293.365816	293.530409	0.126701366	0	0	0	0	0	3
67	28	0	0.9530482	293.458984	293.446268	293.367478	293.530409	0.12771126	0	0	0	0	0	3
68	29	0	0.9672728	293.461827	293.448889	293.369888	293.530409	0.128776556	0	0	0	0	0	3
69	29	0	0.9814974	293.464165	293.451508	293.372678	293.530409	0.129849304	0	0	0	0	0	3
70	30	0	0.995722	293.465829	293.454096	293.376049	293.530409	0.130882815	0	0	0	0	0	3
71	30	0	1.0099466	293.467044	293.456623	293.382405	293.530409	0.131766229	0.00958817629	0	0	0	0	3
72	30	0	1.0241712	293.46725	293.45898	293.388669	293.530409	0.129374125	0.00958817629	0	0	0	0	3
73	31	0	1.0383958	293.466722	293.461148	293.393985	293.530409	0.127308516	0.00958817629	0	0	0	0	3
74	31	0	1.0526204	293.465113	293.463124	293.39916	293.530409	0.125558079	0.00958817629	0	0	0	0	3
75	32	0	1.066845	293.462971	293.464896	293.404674	293.530409	0.124007483	0.00958817629	0	0	0	0	3
76	32	0	1.0810696	293.460561	293.466449	293.414921	293.530409	0.11548811	0.00958817629	0	0	0	0	3
77	33	0	1.0952942	293.458501	293.467659	293.42654	293.530409	0.103868814	0.00958817629	0	0	0	0	3
78	33	0	1.1095188	293.45648	293.468491	293.438286	293.530409	0.0921227472	0.00958817629	0	0	0	0	3
79	34	0	1.1237434	293.454926	293.468953	293.43839	293.530409	0.0920189547	0.00958817629	0	0	0	0	3
80	34	0	1.137968	293.453361	293.46905	293.43839	293.530409	0.0920189547	0.00958817629	0	0	0	0	3
81	35	0	1.1521926	293.45233	293.468777	293.43839	293.530409	0.0920189547	0.00958817629	0	0	0	0	3
82	35	0	1.1664172	293.451308	293.468112	293.43839	293.530409	0.0920189547	0.00958817629	0	0	0	0	3
83	36	0	1.1806418	293.450649	293.467059	293.43839	293.530409	0.0920189547	0.00958817629	0	0	0	0	3
84	36	0	1.1948664	293.450041	293.465604	293.43839	293.530409	0.0846814964	0.00958817629	0	0	0	0	3
85	36	0	1.209091	293.449759	293.463775	293.43839	293.530409	0.0764602174	0.00958817629	0	0	0	0	3
86	37	0	1.2233156	293.449403	293.461656	293.43839	293.530409	0.0689972256	0.00958817629	0	0	0	0	3
87	37	0	1.2375402	293.449156	293.459399	293.43839	293.52719	0.0630806383	0.00958817629	0	0	0	0	3
88	38	0	1.2517648	293.4487	293.457218	293.43839	293.514986	0.0585332301	0.00958817629	0	0	0	0	3
