Iteration	CPUTime	PhysTime	Travels
1	2	0	0.0142246
2	3	0	0.0284492
3	3	0	0.0426738
4	3	0	0.0568984
5	4	0	0.071123
6	4	0	0.0853476
7	5	0	0.0995722
8	5	0	0.1137968
9	5	0	0.1280214
10	6	0	0.142246
11	6	0	0.1564706
12	6	0	0.1706952
13	7	0	0.1849198
14	7	0	0.1991444
15	8	0	0.213369
16	8	0	0.2275936
17	8	0	0.2418182
18	9	0	0.2560428
19	9	0	0.2702674
20	10	0	0.284492
21	10	0	0.2987166
22	10	0	0.3129412
23	11	0	0.3271658
24	11	0	0.3413904
25	12	0	0.355615
26	12	0	0.3698396
27	12	0	0.3840642
28	13	0	0.3982888
29	13	0	0.4125134
30	13	0	0.426738
31	14	0	0.4409626
32	14	0	0.4551872
33	15	0	0.4694118
34	15	0	0.4836364
35	15	0	0.497861
36	16	0	0.5120856
37	16	0	0.5263102
38	17	0	0.5405348
39	17	0	0.5547594
40	17	0	0.568984
41	18	0	0.5832086
42	18	0	0.5974332
43	19	0	0.6116578
44	19	0	0.6258824
45	19	0	0.640107
46	20	0	0.6543316
47	20	0	0.6685562
48	20	0	0.6827808
49	21	0	0.6970054
50	21	0	0.71123
51	22	0	0.7254546
52	22	0	0.7396792
53	22	0	0.7539038
54	23	0	0.7681284
55	23	0	0.782353
56	24	0	0.7965776
57	24	0	0.8108022
58	25	0	0.8250268
59	25	0	0.8392514
60	25	0	0.853476
61	26	0	0.8677006
62	26	0	0.8819252
63	27	0	0.8961498
64	27	0	0.9103744
65	28	0	0.924599
66	28	0	0.9388236
67	28	0	0.9530482
68	29	0	0.9672728
69	29	0	0.9814974
70	30	0	0.995722
71	30	0	1.0099466
72	30	0	1.0241712
73	31	0	1.0383958
74	31	0	1.0526204
75	32	0	1.066845
76	32	0	1.0810696
77	33	0	1.0952942
78	33	0	1.1095188
79	34	0	1.1237434
80	34	0	1.137968
81	35	0	1.1521926
82	35	0	1.1664172
83	36	0	1.1806418
84	36	0	1.1948664
85	36	0	1.209091
86	37	0	1.2233156
87	37	0	1.2375402
88	38	0	1.2517648
89	38	0	1.2659894
90	39	0	1.280214
91	39	0	1.2944386
92	39	0	1.3086632
93	40	0	1.3228878
94	40	0	1.3371124
95	41	0	1.351337
96	41	0	1.3655616
97	42	0	1.3797862
98	42	0	1.3940108
99	42	0	1.4082354
100	43	0	1.42246
101	44	0	1.4366846
102	44	0	1.4509092
103	44	0	1.4651338
104	45	0	1.4793584
105	45	0	1.493583
106	46	0	1.5078076
107	46	0	1.5220322
108	47	0	1.5362568
109	47	0	1.5504814
110	47	0	1.564706
111	48	0	1.5789306
112	48	0	1.5931552
113	49	0	1.6073798
114	49	0	1.6216044
115	49	0	1.635829
116	50	0	1.6500536
117	50	0	1.6642782
118	51	0	1.6785028
119	51	0	1.6927274
120	51	0	1.706952
121	52	0	1.7211766
122	52	0	1.7354012
123	53	0	1.7496258
124	53	0	1.7638504
125	53	0	1.778075
126	54	0	1.7922996
127	54	0	1.8065242
128	55	0	1.8207488
129	55	0	1.8349734
